"climate change is an interesting hustle as it was global warming but the planet stopped warming for 15 yes while the suv boom", -1
"fabulous! leonardo #dicaprio's film on #climate change is brilliant!!! do watch.  via ", 1
"unamshow awache kujinga na iko global warming  ", 0
"bangladesh did not cause climate change, so the country does not need aid; instead it needs compensation for the  ", 1
"now's the time: we need a strong #ftt that works for those hardest hit by climate change and poverty!", 1
"we must combat climate change. indigenous ppl are protesting for our earth, our water. yet this happens:  ", 1
"everyone should take the time to watch climate change docufilm with leonardo dicaprio, time to be about it and stop talking about it", 1
"boingboing: watch before the flood, an urgent call to arms about climate change   ", 1
"its like that in alot places now, it's called climate change", 1
"a web of truths: this is how climate change affects more than just the weather.  #ad  ", 1
"i watched it just now. everybody, esp., world leaders must stand together and act on climate change.", 1
"im creating a new think tank for climate change, would you join and post your tweet also at  ?", 1
"nicely said: 'financiers are not philanthropists. but (...) allies in the fight against climate change' [in french]  ", 1
"a remarkable man and his work on climate change is so impressive more people need to see it...  ", 1
"why aren't you vegan? meat industry contributes greatly to climate change and deforestation!", 1
"the mediterranean will become a desert unless global warming is limited to 1.5c", 1
"it's #2016 and i can't believe people still don't believe in climate change its effing science.", 1
"respecting first nations sovereignty. fighting petrocapitalism. standing up against climate change. get after it. #nodapl", 1
"a huge climate change victory just happened in rwanda  and few people noticed   ", 1
"i asked my dad to watch this documentary that just came out on climate change, and legit turned it into a trump vs hillary thing", 0
"al gore, creator of the internet and global warming.", 0
"watch on #periscope: global warming winston neace  ", 0
"yes wrote that in 3rd yr comp sci ethics part. was told by climate change denying lecturer that i was wrong &amp; marked down.", 1
"how do ghosts cool their environment and could we use that to combat global warming? #funny", 0
"it's like not believing in global warming. you opposing war doesn't make the world a peaceful place.", 1
"al. i might be related to wright brothers, and i think i just solved global warming. i sent emails to everyone!", 0
"9 ways global warming is affecting daily life: lakes disappearing, drinking water supply at risk  via ", 1
"watch leonardo dicaprio's climate change documentary free for limited time   ", 0
"and with climate change we can expect asteroids to become more frequent and powerful", 0
"im creating a new think tank for climate change, would you join and post your tweet also at  ?", 1
"is this who we really want to be? a nation with a leader who promotes bigotry, racism, anti-women, anti-journalism, anti-climate change?", 1
"100% agree with on climate change. the choices in this election look to be 100 steps backwards, 50 steps forward, or zero.", 1
"75 degrees in stl on last day in october. i am all for this global warming hoax!", 0
"you do understand that climate change is natural, not necessarily caused by humans. it snowed in miami, and the atlantic froze", -1
"google is being very odd, we know they manipulate search results, but i woke up to a climate change documentary loaded up on youtube...(1/2)", 0
"they ask me my inspiration i tell em global warming, too cozy", 0
"probably the scariest thing you'll watch this halloween. leonardo di caprio's climate change documentary  ", 1
"watching docu. funny you talk up doing something about climate change yet do nothing on #dapl #nodapl #climateaction", 1
"he's hot headed and vindictive. he's pro use of nukes. he thinks climate change is a hoax.", 1
"thinking wont stop climate change  ", 1
"#beforetheflood taught me more about climate change than my entire formal education!! insightful and bold!!", 1
"trump wins election &amp; he is now a catalyst for climate change in wash. no more cush jobs, they will be accountable,nopension", 0
"the new &amp; documentary on climate change #beforetheflood is on youtube.  ", 1
"the worst thing about global warming is it allows people to wear flip-flops in public later on into the year.", 0
"270 minutes of debate time, zero questions on climate change or education policy. isis! emails! nafta!", 1
"company directors to face penalties for ignoring climate change #auspol politicians should too  ", 1
"if global warming continues at the current pace it will change the mediterranean regi ... #tattoos #funny #diy  ", 1
